,sha,message,issues,files
50,8b79a00f9f78443a6aff73c71b11c9beb695127f,Fix renderHeight being undefined (#165373),,['src/vs/workbench/contrib/timeline/browser/timelinePane.ts']
51,e9db45a0dec7a6fe622e7134a247cc45ec64a96f,Fix #164690 #164730 (#165331),,"['src/vs/code/electron-browser/sharedProcess/contrib/extensions.ts', 'src/vs/code/electron-browser/sharedProcess/contrib/extensionsCleaner.ts', 'src/vs/code/electron-browser/sharedProcess/sharedProcessMain.ts', 'src/vs/code/electron-main/app.ts', 'src/vs/code/node/cliProcessMain.ts', 'src/vs/platform/extensionManagement/common/abstractExtensionManagementService.ts', 'src/vs/platform/extensionManagement/common/extensionManagement.ts', 'src/vs/platform/extensionManagement/common/extensionsProfileScannerService.ts', 'src/vs/platform/extensionManagement/common/extensionsScannerService.ts', 'src/vs/platform/extensionManagement/electron-main/defaultExtensionsProfileInit.ts', 'src/vs/platform/extensionManagement/node/extensionManagementService.ts', 'src/vs/platform/extensionManagement/node/extensionsWatcher.ts', 'src/vs/platform/userDataProfile/browser/userDataProfile.ts', 'src/vs/platform/userDataProfile/common/userDataProfile.ts', 'src/vs/platform/userDataProfile/test/common/userDataProfileService.test.ts', 'src/vs/platform/userDataProfile/test/electron-main/userDataProfileMainService.test.ts', 'src/vs/platform/userDataSync/common/extensionsSync.ts', 'src/vs/platform/userDataSync/common/userDataProfilesManifestSync.ts', 'src/vs/platform/userDataSync/common/userDataSyncService.ts', 'src/vs/server/node/remoteAgentEnvironmentImpl.ts', 'src/vs/server/node/serverServices.ts', 'src/vs/workbench/contrib/extensions/browser/extensionsActions.ts', 'src/vs/workbench/services/extensionManagement/browser/webExtensionsScannerService.ts', 'src/vs/workbench/services/extensionManagement/common/extensionManagement.ts', 'src/vs/workbench/services/extensionManagement/common/webExtensionManagementService.ts', 'src/vs/workbench/services/extensionManagement/electron-sandbox/nativeExtensionManagementService.ts', 'src/vs/workbench/services/extensions/electron-sandbox/cachedExtensionScanner.ts', 'src/vs/workbench/services/userDataProfile/common/userDataProfileService.ts', 'src/vs/workbench/test/electron-browser/workbenchTestServices.ts']"
52,209a5cd5174436412bc975a467d8f5e908c8aea9,Fixes #165238 (#165242),,['src/vs/workbench/contrib/mergeEditor/browser/model/mergeEditorModel.ts']
53,d9ed6d1ef4425d63428251a0182b5b9ae2b0d844,"""Revert """"Fix #164690 #164730 (#165279)"""" (#165302)""",,"['src/vs/code/electron-browser/sharedProcess/contrib/extensions.ts', 'src/vs/code/electron-browser/sharedProcess/contrib/extensionsCleaner.ts', 'src/vs/code/electron-browser/sharedProcess/sharedProcessMain.ts', 'src/vs/code/electron-main/app.ts', 'src/vs/code/node/cliProcessMain.ts', 'src/vs/platform/extensionManagement/common/abstractExtensionManagementService.ts', 'src/vs/platform/extensionManagement/common/extensionManagement.ts', 'src/vs/platform/extensionManagement/common/extensionsProfileScannerService.ts', 'src/vs/platform/extensionManagement/common/extensionsScannerService.ts', 'src/vs/platform/extensionManagement/electron-main/defaultExtensionsProfileInit.ts', 'src/vs/platform/extensionManagement/node/extensionManagementService.ts', 'src/vs/platform/extensionManagement/node/extensionsWatcher.ts', 'src/vs/platform/userDataProfile/browser/userDataProfile.ts', 'src/vs/platform/userDataProfile/common/userDataProfile.ts', 'src/vs/platform/userDataProfile/test/common/userDataProfileService.test.ts', 'src/vs/platform/userDataProfile/test/electron-main/userDataProfileMainService.test.ts', 'src/vs/platform/userDataSync/common/extensionsSync.ts', 'src/vs/platform/userDataSync/common/userDataProfilesManifestSync.ts', 'src/vs/platform/userDataSync/common/userDataSyncService.ts', 'src/vs/server/node/remoteAgentEnvironmentImpl.ts', 'src/vs/server/node/serverServices.ts', 'src/vs/workbench/contrib/extensions/browser/extensionsActions.ts', 'src/vs/workbench/services/extensionManagement/browser/webExtensionsScannerService.ts', 'src/vs/workbench/services/extensionManagement/common/extensionManagement.ts', 'src/vs/workbench/services/extensionManagement/common/webExtensionManagementService.ts', 'src/vs/workbench/services/extensionManagement/electron-sandbox/nativeExtensionManagementService.ts', 'src/vs/workbench/services/extensions/electron-sandbox/cachedExtensionScanner.ts', 'src/vs/workbench/services/userDataProfile/common/userDataProfileService.ts', 'src/vs/workbench/test/electron-browser/workbenchTestServices.ts']"
54,9c0c68c8cfd9341b8e345e409c5b434e5b80e14e,Fix #164690 #164730 (#165279),,"['src/vs/code/electron-browser/sharedProcess/contrib/extensions.ts', 'src/vs/code/electron-browser/sharedProcess/contrib/extensionsCleaner.ts', 'src/vs/code/electron-browser/sharedProcess/sharedProcessMain.ts', 'src/vs/code/electron-main/app.ts', 'src/vs/code/node/cliProcessMain.ts', 'src/vs/platform/extensionManagement/common/abstractExtensionManagementService.ts', 'src/vs/platform/extensionManagement/common/extensionManagement.ts', 'src/vs/platform/extensionManagement/common/extensionsProfileScannerService.ts', 'src/vs/platform/extensionManagement/common/extensionsScannerService.ts', 'src/vs/platform/extensionManagement/electron-main/defaultExtensionsProfileInit.ts', 'src/vs/platform/extensionManagement/node/extensionManagementService.ts', 'src/vs/platform/extensionManagement/node/extensionsWatcher.ts', 'src/vs/platform/userDataProfile/browser/userDataProfile.ts', 'src/vs/platform/userDataProfile/common/userDataProfile.ts', 'src/vs/platform/userDataProfile/test/common/userDataProfileService.test.ts', 'src/vs/platform/userDataProfile/test/electron-main/userDataProfileMainService.test.ts', 'src/vs/platform/userDataSync/common/extensionsSync.ts', 'src/vs/platform/userDataSync/common/userDataProfilesManifestSync.ts', 'src/vs/platform/userDataSync/common/userDataSyncService.ts', 'src/vs/server/node/remoteAgentEnvironmentImpl.ts', 'src/vs/server/node/serverServices.ts', 'src/vs/workbench/contrib/extensions/browser/extensionsActions.ts', 'src/vs/workbench/services/extensionManagement/browser/webExtensionsScannerService.ts', 'src/vs/workbench/services/extensionManagement/common/extensionManagement.ts', 'src/vs/workbench/services/extensionManagement/common/webExtensionManagementService.ts', 'src/vs/workbench/services/extensionManagement/electron-sandbox/nativeExtensionManagementService.ts', 'src/vs/workbench/services/extensions/electron-sandbox/cachedExtensionScanner.ts', 'src/vs/workbench/services/userDataProfile/common/userDataProfileService.ts', 'src/vs/workbench/test/electron-browser/workbenchTestServices.ts']"
55,86b8ed4649d338758c8f1250811f9f7704fc1fc1,Fix autoreveal on file nest (#165272),,['src/vs/workbench/contrib/files/browser/views/explorerView.ts']
56,6aaf830b9cfacd7e100fc0e5a59bf924580db75d,Fix some cases of incremental naming disabled (#165253),,"['src/vs/workbench/contrib/files/browser/fileActions.ts', 'src/vs/workbench/contrib/files/browser/views/explorerViewer.ts']"
57,7fbec6dcc9262947012eb4dcbe763e6ec7b62ef0,Fix KaTeX equation numbering in notebook preview (#156276),,['extensions/markdown-math/notebook/katex.ts']
58,d810d86c4cc295ad5b575b6c6528446cf3bf6f23,Audio Cues: Don't play the same sound in parallel. Fixes #164921 (#165194),,"['src/vs/workbench/contrib/audioCues/browser/audioCueService.ts', 'src/vs/workbench/contrib/audioCues/browser/commands.ts']"
59,5ab18068041a148195b124a0ec03aa1e0a273d24,Fix tree data provider being accessed after disposed (#165087),,"['src/vs/workbench/api/browser/mainThreadTreeViews.ts', 'src/vs/workbench/api/common/extHost.protocol.ts', 'src/vs/workbench/api/common/extHostTreeViews.ts', 'src/vs/workbench/browser/parts/views/treeView.ts']"
60,a64d5346e8c7dfe7c20b4b5cc9e0c33cd1c449f8,Fixes task reconnection status does not work for default build task (#165110),,"['src/vs/workbench/contrib/tasks/browser/abstractTaskService.ts', 'src/vs/workbench/contrib/tasks/browser/taskService.ts', 'src/vs/workbench/contrib/tasks/browser/terminalTaskSystem.ts', 'src/vs/workbench/contrib/tasks/common/taskSystem.ts', 'src/vs/workbench/contrib/terminal/browser/terminal.ts', 'src/vs/workbench/contrib/terminal/browser/terminalService.ts', 'src/vs/workbench/contrib/terminal/browser/terminalView.ts']"
61,9d55dde2d06620ed37ab2d92ef1871a2da9691a4,Fix #164630 (#165096),,"['src/vs/platform/extensionManagement/common/extensionNls.ts', 'src/vs/platform/extensionManagement/test/common/extensionNls.test.ts']"
62,50b1bccd17b0d617885b1d1260179787ff727e41,Remove inlineCompletionsNew proposal. Fixes #164856 (#165044),,"['extensions/emmet/tsconfig.json', 'src/vs/workbench/api/common/extHost.api.impl.ts', 'src/vs/workbench/api/common/extHostLanguageFeatures.ts', 'src/vs/workbench/api/common/extHostTypes.ts', 'src/vs/workbench/services/extensions/common/extensionsApiProposals.ts', 'src/vscode-dts/vscode.proposed.inlineCompletionsAdditions.d.ts', 'src/vscode-dts/vscode.proposed.inlineCompletionsNew.d.ts']"
63,7cb1b9d9f00550ffa914432d7ce8ac85d62655b8,Fix bugs with close of markdown docs (#164942),,['extensions/markdown-language-features/server/src/workspace.ts']
