,sha,message,issues,files
26,23b25e9d4d3aad79f59a087f25bffb859afea88e,Fix #166147 (#166648),,"['src/vs/code/electron-browser/sharedProcess/contrib/extensions.ts', 'src/vs/platform/extensionManagement/common/abstractExtensionManagementService.ts', 'src/vs/platform/extensionManagement/common/extensionManagement.ts', 'src/vs/platform/extensionManagement/common/extensionManagementIpc.ts', 'src/vs/platform/extensionManagement/common/extensionsProfileScannerService.ts', 'src/vs/platform/extensionManagement/common/extensionsScannerService.ts', 'src/vs/platform/extensionManagement/node/extensionManagementService.ts', 'src/vs/platform/extensionManagement/node/extensionsWatcher.ts', 'src/vs/platform/extensionManagement/test/node/extensionsScannerService.test.ts', 'src/vs/platform/userDataProfile/common/userDataProfile.ts', 'src/vs/platform/userDataProfile/electron-main/userDataProfile.ts', 'src/vs/platform/userDataProfile/node/userDataProfile.ts', 'src/vs/platform/userDataProfile/test/electron-main/userDataProfileMainService.test.ts', 'src/vs/server/node/remoteAgentEnvironmentImpl.ts', 'src/vs/server/node/serverServices.ts', 'src/vs/workbench/contrib/extensions/browser/extensions.contribution.ts', 'src/vs/workbench/services/extensionManagement/common/extensionManagement.ts', 'src/vs/workbench/services/extensionManagement/common/extensionManagementService.ts', 'src/vs/workbench/services/extensionManagement/common/webExtensionManagementService.ts', 'src/vs/workbench/services/extensionManagement/electron-sandbox/extensionManagementService.ts', 'src/vs/workbench/services/extensions/electron-sandbox/cachedExtensionScanner.ts', 'src/vs/workbench/test/browser/workbenchTestServices.ts']"
27,4129bb21c985bfe611f2d8cf52b3ac0ed598cabe,Fix #166419. Simplify single suggested/selected kernel. (#166420),,['src/vs/workbench/contrib/notebook/browser/viewParts/notebookKernelView.ts']
28,85e1bb0c06393e093c533962f6cf96d40f2bbad6,Fix code action list showing disabled code action (#166418),,['src/vs/platform/actionWidget/browser/actionWidget.ts']
29,687514b9f49deedb153e918a0fc3774cef992dcf,Git - Fix optimistic UI update for untracked changes (#166277),,['extensions/git/src/repository.ts']
30,79f348c0d647df2e6562be92c2a9ddf68655be89,Fix #164592 (#166276),,['src/vs/workbench/contrib/extensions/browser/extensionsWorkbenchService.ts']
31,a89e89544997a477cf4a9e58015a512a20764f81,Fixes #166180 (#166269),,"['src/vs/platform/extensionManagement/common/extensionsProfileScannerService.ts', 'src/vs/platform/extensionManagement/node/extensionManagementService.ts', 'src/vs/platform/extensionManagement/node/extensionsWatcher.ts']"
32,e793722b9ee1ea369188bdac805dca0a0effcd51,Fix typings for nb outline test. Re #164297 (#166084),,"['src/vs/workbench/contrib/notebook/browser/contrib/outline/notebookOutline.ts', 'src/vs/workbench/contrib/notebook/browser/notebookBrowser.ts', 'src/vs/workbench/contrib/notebook/browser/notebookEditor.ts', 'src/vs/workbench/contrib/notebook/test/browser/contrib/notebookOutline.test.ts']"
33,9f2be311ff72dc348c794d6d47aeb8cda881ebf4,Fix some test instantiation service errors in notebooks (#166069),,"['src/vs/workbench/contrib/notebook/test/browser/notebookEditorModel.test.ts', 'src/vs/workbench/contrib/notebook/test/browser/notebookExecutionService.test.ts', 'src/vs/workbench/contrib/notebook/test/browser/notebookKernelService.test.ts']"
34,4f30fd5a83b31b86d4e141fe38c1cd27062d01d7,Fix webview state update (#166048),,"['src/vs/workbench/contrib/webview/browser/webviewElement.ts', 'src/vs/workbench/contrib/webview/browser/webviewMessages.d.ts']"
35,fc4a4ceee1e6f0c53c443958166d8d8cca795d61,Fix leak in comments widget (#166016),,"['src/vs/workbench/contrib/comments/browser/commentNode.ts', 'src/vs/workbench/contrib/comments/browser/commentReply.ts', 'src/vs/workbench/contrib/comments/browser/commentThreadWidget.ts']"
36,cf46b990f707105d712aaa070af74ca12b6b90eb,Fix #163013 (#165993),,['src/vs/workbench/services/userDataSync/browser/userDataSyncWorkbenchService.ts']
37,9d5741f01a67beea273121615b2d015fc298d9ea,Fix Windows unit tests (#165973),,['src/vs/workbench/contrib/terminal/test/node/terminalProfiles.test.ts']
38,54543cf5bf178600cfea17355b4c201877132b5b,Fix: New md file scrolls to Top. (#164999),,"['extensions/markdown-language-features/preview-src/index.ts', 'extensions/markdown-language-features/src/preview/preview.ts']"
39,ad9a4ab198b21de2fa2eff563a45ec1e1a6f6a8a,Fix typings issues with `TestInstantiationService` (search)  (#165945),,"['src/vs/workbench/contrib/search/test/browser/searchActions.test.ts', 'src/vs/workbench/contrib/search/test/browser/searchViewlet.test.ts', 'src/vs/workbench/contrib/search/test/common/searchResult.test.ts']"
