SHA,Message
6c87de9dfaa8e6e3cd1d046e40bbc40b75d54eaf, Add exit status to contrib pt
589e901e534dc429e322abde351fbe2a78b49033,fixing test
4a040f618691b9b2470d7e2da0da9708b006ea90,increase max_old_size for core-ci
aeb79e48a0ea91263ca8e972fdf233d51f4bad60,free memory when TS2TS mangling is done
85c28e5927ebaa6b9f7dec7d45d25129512ac5bb,improve printing of implicit public cases
0b697608037973ce9418e43794bb457662ec82eb,Addresses feedback from PR
fb8187c953fc5c6bffe6f9e15dd55cd7e72f4357,source maps for build/lib
f493f6899a5fd36d7c98a82e0c13ed62477c948e,mark private properties that are used in tests as public
c783d52014102fefda660529cbb50297b1983714,Add implicit activation events when scanning extensions
98a618afd4021e837c7f17cc6c72d30118db3b9e,Register testAreaInput event listeners
1d70080dee6ad46ca5bb1b7583eaa082e2d235be,Remove extra new line
635ed4c921d1d50c39629f2b66a4b9dbacc71c2c,Document inputLatency namespace
d31573550f6bb640d8e6c747d726d67bc6d3f820,cli: implement local download fallback
083a5955b30c426bc4ba5e6aa396f4af48c64b1c,Improves performance of bracket pair colorization.
61879782c9a0f05774fb1400fe4edd9e64c36f6c,Unit test failures: Async#retry (fix #163619) (#165883)
5885042e32de5c2215f53ffe6469195bd978d268,Update xterm.js
503e4bc08d4406caf187cb870b341e0dfc5d85a4,Adopt implicit activation event collector for commands
2fad3d99f39f4be9e48bc6eed2318a0451ceb50d,Do not interrupt if there are no affected cells
dbc828f00a42ba17452981c7de1a392e37f2f0ff,Remove unneeded diff
c222705fd5c23be8e68a5d87b698d04b9ebd5d56,merge editor telemetry
c536595a7fbec74ba2c33e3fd0be5a12689a2641,cli: fallback to system installs in the standalone CLI
07aacf8851633b896cfbecc62c8ee1544b402620,Pass through _store
9f11171f3fa91a8a7c05a3185e1cd3a364a7259c,Generate an object with input latency stats
691ffd27c2321c7977440355ab9f74f12eb7ca61,fix missing sudo
09b380e164cf29874af313f19fa4186056846a4d,Prefix immediate with window
f01d9d13edab3aeb51551d4b018aecab8b85fbb6,Defer bracket pair document parsing using setImmediate
b987cb47f4a653839862849c8ded24a99cb48ad8,fix integrated cli check
d2c5e202378b71e1d03fe1c5a9263f38db28d169,Use linked list for storing Gesture targets (#163857)
5498be71d2357df52026995d0826732016442cb3,Make sure we dispose of Gesture.ignoreTarget (#163855)
337b02953ffc4aaefce8deb6d076eb249ccde061,Move TernarySearchTree to own file (#163684)
3f00e7edb886bae19d51b89681659467433ce19c,Add allow list of webview command uris (#163501)
5916cdeccbf1dd3adbab51f95ff901adacdc3e08,Move all webview clipping logic into overlaywebview (#163853)
d4ef671011bd891884799153fb1faeff4f149da8,add more logs (#163852)
c6b4b2f04458dcbf5d1fac24bc34aa723569b04c,Set contain on monaco-list-rows (#163518)
89f0c65eb4f5eb55dceeb12fdde05742ed083447,Avoid extra uses of `Iterator.ts` (#163699)
f1a27d7b8bb5fbb027a1da33007b1d62149a5bb6,Recognize stash merge conflicts (#163680)
85f62d7aca69bed5315f8354b4bca70031d3ece9,Improve `implies` implementation (#163841)
e1e7ce5d17e3f86cc93c4196e5a7561f57eac459,Git - adopt log output channel api  (#163695)
f9a0fdeff2e704b37f3ec19a2921ee3e38359073,Tolerate minor edit session identity differences (#163804)
a0a7cc4b5fee19ad67611178ec6610716b2aeed6,Re-enable disabling inputbox/quickpick API (#163739)
81d2ccccc9c153e088df3f3805f8255d36f82f90,Always require an extension id if you want consistent webview origins (#163711)
cbee57d41509512ba044b7cb00210a590c187679,Bump dev container memory reqs
641046a11d2d30ffb552e4047b61026efd1179ab,Add commands to insert images/links in markdown (#163706)
84439a87f65d5a18ca7479983b5ff25fa093ddf6,wip
5612f80f8dec3aa66f2f1224198acdb373facc7d,Pass associated notebook document to kernel source command (#163701)
4c53499e8ab7530ce13ee09d36c115d1c6c91ef9,"Revert ""Make returned editor contributions an iterable instead of an array (#163309)"" (#163689)"
0a6a5912a5ba6d444250c26659dfe9b543fdfc8e,Use editor scope contextkeyservice for fetching kernel source commands (#163693)
a8108049ab61b970f2ec1839dfb753054e07395e,Allow extensions to use new API and it get included in Language Packs (#163493)
2457d9eb469d9fd56ed4ce1ce9887b4b0ef43730,Plumbing for desktop to pick up strings from language packs (#163494)
5b7233c5e3977662532e77c96a3d0fcad1d25753,Use for-of loop instead (#163491)
24a2b8af8c7b99c4ef91b2b7f4ae97d313b7c9e3,Re-apply: Clean up how the notebook renderer entrypoint is passed around (#163486)
7cfb34dff428cabc0a96ac223a8381f802dca9d7,Freeze the notebook kernel context (#163488)
07b87405e7a370a90d190891c32768e717bc665e,Don't depend on typescript protocol.d.ts (#163365)
6f7820c454195fd9d9749022f911a08a004f34bd,add accessibility setting tag (#163358)
f5ced8231b65f7939c29e4cf23949951eb1e6596,Small clean up for terminal tab list rendering lifecycle (#163485)
b5542cae84a18a46270e620214f49172d287154d,Document more of lifecycle.ts (#163482)
3ddce0580ed69c46c259ca79d51f139ae76b46ee,add diff editor navigation tip to aria label (#163368)
342aa9c59a2ca6aab8fce5043874644718415d8a,Improvements to i18n (#163372)
22ff985c19a0e36505ee86f5bf1e4c7f9c641bd7,Add multiple template parameters (#163191)
d055619b399e8bc4056d1b6d9c9e3dbad6384ebb,Re-use label listener when rendering explorer elements (#163474)
2c332cefa2ba7a55e48235b60753bfb5c1283232,commit characters must check suggest model state before proceeding (#163467)
c1ac9ecbb5f22024433a63d5a5a12da5da14c47a,Initialize context keys a bit later to avoid triggering recursive instantiation (#163445)
a2aeb3110a7e5cf2667e312dd5bfca01bb029769,Use `toggle` instead of dynamic call to class list add/remove (#163464)
c56e49670ed87ab5fcfb5895f84a8564b865f645,Reduce event listeners created when rendering explorer items (#163394)
